theta,item,info,a,b,c
-4.75,IRPM.328,7.226651822691399e-9,2.33784,-0.1311,0.24
-4.75,IRPM.189,7.235460028839529e-9,2.47197,-0.3594,0.24
-4.75,IRPM.110,6.216756934321182e-9,2.45412,-0.2995,0.24
-4.75,IRPM.260,6.669007357407192e-9,2.78698,-0.798,0.24
-4.75,IRPM.33,5.6954055549449354e-9,2.67223,-0.6145,0.24
-4.75,IRPM.138,4.576567177807453e-9,2.33002,-0.019,0.24
-4.75,IRPM.357,3.921647239424014e-9,2.12687,0.4263,0.24
-4.75,IRPM.459,4.4439889679642335e-9,2.43457,-0.1981,0.24
-4.75,IRPM.133,4.550029920764354e-9,2.48404,-0.2854,0.24
-4.75,IRPM.312,3.5186933396830413e-9,2.17447,0.3481,0.24
-4.75,IRPM.378,2.987618393566757e-9,1.88649,1.0944,0.24
-4.75,IRPM.132,3.7027704922159556e-9,2.34158,0.005,0.24
-4.75,IRPM.374,3.5766197236608454e-9,2.44596,-0.173,0.24
-4.75,IRPM.366,2.253927053920126e-9,2.6503,-0.4085,0.24
-4.75,IRPM.417,2.100813140914683e-9,2.65676,-0.4049,0.24
-4.75,IRPM.447,2.029412404434509e-9,2.59539,-0.3045,0.24
-4.75,IRPM.343,1.6839653883901879e-9,2.31421,0.2264,0.24
-4.75,IRPM.460,1.1856375341256589e-9,1.97744,1.0831,0.24
-4.75,IRPM.434,1.5268374483004266e-9,2.76896,-0.5084,0.24
-4.75,IRPM.238,1.168495137503905e-9,2.24315,0.4516,0.24
-4.75,IRPM.449,1.0717695997318597e-9,2.36861,0.2173,0.24
-4.75,IRPM.297,9.93613486328629e-10,2.39394,0.185,0.24
-4.75,IRPM.451,9.729738941305245e-10,2.77967,-0.4423,0.24
-4.75,IRPM.278,9.818132293250147e-10,2.93165,-0.649,0.24
-4.75,IRPM.202,8.698037140079397e-10,2.85039,-0.5207,0.24
-4.75,IRPM.142,6.735776676673239e-10,2.48982,0.0888,0.24
-4.75,IRPM.262,3.817826353983719e-10,2.28157,0.6166,0.24
-4.75,IRPM.244,3.76216811463173e-10,2.78171,-0.2744,0.24
-4.75,IRPM.319,2.7100925374623523e-10,2.35824,0.5288,0.24
-4.75,IRPM.293,2.6480203818998974e-10,2.59454,0.0893,0.24
-4.75,IRPM.370,2.896451874848941e-10,2.77831,-0.2223,0.24
-4.75,IRPM.253,1.8380861622013904e-10,2.84495,-0.2401,0.24
-4.75,IRPM.468,7.815851830689846e-11,2.96718,-0.2676,0.24
-4.75,IRPM.487,1.3255897340383204e-11,3.18342,-0.2713,0.24
-4.7,IRPM.382,0.0006699701563225107,0.91307,-0.2215,0.24
